Player_id,player_name,base_price,set_number,accelerated_list,is_overseas,total_points_sum,total_points_mean,total_points_std,total_points_max,total_points_min,batting_points_sum,batting_points_mean,bowling_points_sum,bowling_points_mean,fielding_points_sum,fielding_points_mean,runs_sum,runs_mean,runs_max,wickets_sum,wickets_mean,wickets_max,catches_sum,catches_mean,total_matches,points_per_match,value_score,consistency_score,batting_specialist,bowling_specialist,all_rounder,cat_AR,cat_BAT,cat_BOWL,cat_WK
96,Akeal Hosein,1.0,5,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,False,True,False
97,Mayank Yadav,1.0,5,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,False,True,False
98,Harsh Dubey,1.0,5,0,False,203.0,67.66666666666667,66.98009654616313,145.0,28.0,0.0,0.0,158.0,52.666666666666664,0.0,0.0,0.0,0.0,0.0,5.0,1.6666666666666667,3.0,0.0,0.0,3.0,67.66666666666667,61.515151515151516,0.9953893875498748,0,1,0,False,False,True,False
99,Zeeshan Ansari,1.0,5,0,False,277.0,27.7,34.49331658291051,110.0,-5.0,0.0,0.0,157.0,15.7,40.0,4.0,0.0,0.0,0.0,8.0,0.8,3.0,3.0,0.3,10.0,27.7,25.18181818181818,0.7804286177453793,0,1,0,False,False,True,False
100,Auqib Nabi,1.0,5,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,False,True,False
101,Priyansh Arya,1.0,6,0,False,1347.0,74.83333333333333,78.37710500034622,323.0,-5.0,1027.0,57.05555555555556,0.0,0.0,80.0,4.444444444444445,545.0,30.27777777777778,103.0,0.0,0.0,0.0,8.0,0.4444444444444444,15.0,89.8,81.63636363636363,0.9427571506041563,1,0,0,False,True,False,False
102,Ajinkya Rahane,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
103,Nehal Wadhera,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
104,Sherfane Rutherford,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
105,Angkrish Raghuvanshi,1.0,6,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,False,False
